,alloy_name,phases,VHN,R_delta,S_config,VEC,R_cov_delta,density_avg,Tm_avg,E_avg,E_delta,G_avg,G_delta,K_avg,K_delta,Compress_avg,Compress_delta,EN_Allen_avg,H_avg,Vm_delta,E_coh_avg,E_coh_delta,Senkov_param,H_chem,H_el
10,CoFeNiSi0.5,FCC + Im,287.0,0.17590679646936136,0.25812005998408927,0.7619047619047618,0.06738751914443827,0.4503493556183364,0.24015709397876797,0.6892285954785955,0.24244458421542953,0.72088336487843,0.0011700775591010886,0.6051483678939537,0.24448247834911455,0.0682598566901836,0.23782339264854988,0.9919939954966223,0.5733245238574013,0.20147109638625232,0.28288543140028277,0.026478901649122658,0.0022619364689841826,0.5290586630286495,0.1176470588235294
11,AlCoCuFeNiSi,FCC + BCC,682.0,0.45348543129311814,0.7066950526114236,0.6527777777777777,0.08732780398399446,0.35332442108821593,0.12614611093962608,0.47934203142536463,0.5406988874053439,0.5362423787301758,0.518523950988649,0.4518131660633527,0.4962885686603832,0.1376974006234382,0.3779187233513154,0.9311150029188556,0.47080903545814057,0.40503770489397306,0.21955879798506148,0.279154075657125,0.0022915772387825783,0.48240109140518417,0.2692041522491349
12,HfMoTaTiZr,BCC,542.0,0.4206297205343693,0.5208099393420963,0.24999999999999997,0.25893585697343435,0.6836306642695801,0.6721437980670996,0.5165193602693603,0.8564401867651276,0.4737971356541329,0.9485237568784304,0.5164552764652245,0.7851329040389481,0.13405209057887013,0.3790759562682303,0.08581436077057786,0.7231852000804343,0.381827860725067,0.7174570088587806,0.39842048405521696,0.03558740974728981,0.773806275579809,0.4311418685121107
13,Al0.5CoCrCuFeNiV1.2,BCC,579.0,0.26499340173518293,0.8386454926281897,0.6786898839137645,0.48688333790990845,0.43654359924894953,0.2528967197038452,0.5107715839991959,0.416661251624214,0.5111606052769996,0.44878475843603816,0.5754440926429776,0.2735807660444062,0.08032812981233411,0.32129314655225444,0.7976318059440101,0.32416841991530376,0.29956672507284055,0.2592146095992159,0.33672000839048355,0.0081083656568773,0.660300136425648,0.14948096885813145
14,Al0.43CoCrFeMnNi,FCC + BCC,183.0,0.30941216324914667,0.6730637049118563,0.6672293840802127,0.1873430214502458,0.44475431008245925,0.2266728407639274,0.6254276574833665,0.32120226053910866,0.6474417199628298,0.29638754546839086,0.5066180331039821,0.5744331708956898,0.14685960201125073,0.5778749588079987,0.8497740708846554,0.28526714608795417,0.27931202262456933,0.19294119001897284,0.3498643327686656,0.004730341328263732,0.5978171896316506,0.11972318339100345
15,Al0.5CoCrCuFeNiTi1.6,FCC + BCC + Im,657.0,0.4827970273626615,0.820101321226781,0.6263693270735525,0.6390694912813447,0.39776445053022236,0.23582117965928676,0.47031198131550256,0.4873280495893777,0.4704050079590346,0.5346478373406776,0.5038469786360265,0.4043734367773682,0.1086653626061182,0.32372965367666123,0.7176685330899585,0.7061512448914278,0.5369759714107303,0.24954311591277742,0.2643541185464098,0.002337771582635104,0.41882673942701226,0.46159169550173007
16,AlCoCrFeNiTiVZr,,780.0,0.6452839148516308,1.0,0.4618055555555556,0.9063459165226061,0.3496750103720095,0.28193622645282734,0.4049873737373738,0.6131692051491858,0.4064461191868262,0.6718034242560784,0.46565254635386455,0.5151878773312262,0.13573305510472217,0.3939550586289004,0.5976357267950964,0.5611301025537905,0.7566494684559312,0.3285565398645129,0.4338370693143366,0.0010609349944820574,0.1197817189631651,0.786159169550173
17,CoCuFeMnNiSn0.05,FCC + Im,205.0,0.27494411565788773,0.5611952014162862,0.8542354235423544,0.15263032583836866,0.5159477917090561,0.1685495630822294,0.6525746324632464,0.2526233539218854,0.6310430002395188,0.28344348773443845,0.48389902407301183,0.5219703373092448,0.14420483318909216,0.5432412317440262,0.9438886095264525,0.2025886320785708,0.33401632811225124,0.17643265108167944,0.3814753817514445,0.023399883174896614,0.8739427012278309,0.1273356401384083
18,NbTiV2Zr,BCC,304.0,0.5042443107102972,0.23813191829752675,0.24999999999999997,0.2778410035003687,0.32720232333010657,0.5009607985496726,0.20612373737373735,0.284584678874597,0.2377836185163332,0.43723162952922734,0.419740805217055,0.3954361003308745,0.13691166241595182,0.2825992323642762,0.26094570928196126,0.592881560426302,0.5267036585472324,0.5853048462741012,0.4112895257554005,0.04569472525259209,0.7956343792633015,0.4332179930795848
19,HfMoNbTaTiZr,BCC,505.0,0.3970478073363082,0.7066950526114236,0.2592592592592592,0.21783620034832654,0.6587993054595185,0.6900591405562776,0.4633838383838384,0.8633122063438309,0.4714280605768027,0.8661062832430991,0.5313953595475606,0.6979275113203768,0.12114537444933918,0.37308469769751496,0.10799766491535301,0.5869026074133655,0.35438065356555004,0.754907069654334,0.38255804291260465,0.09322925491608906,0.8021828103683493,0.36055363321799305
20,CoFeMo0.2NiV,FCC + Im,267.0,0.1879400705962003,0.42118659893637367,0.708994708994709,0.6516126214866429,0.48362759108160847,0.32922918533764683,0.6877254689754688,0.33764037027671395,0.6431700395654693,0.38959068128867275,0.6682825220502417,0.15087221830445458,0.04555257453472151,0.05629626679496007,0.8118588941706283,0.3469209924066147,0.26412826010453433,0.3461128067693987,0.31803243296663597,0.0034627525458794757,0.5522510231923602,0.1916955017301038
21,AlCoCuFeNiTi,FCC + BCC,626.0,0.4756143274044241,0.7066950526114236,0.6527777777777777,0.5813286041068777,0.38682216997802676,0.14933280293775378,0.4705737934904601,0.5620682307535169,0.4396913944465304,0.6142903180828383,0.4576160343382428,0.47903398413809256,0.13376870958600615,0.37464611078401355,0.7734967892586105,0.5244319324351499,0.5398973937041022,0.22720166753517448,0.3060768323484934,0.0013575261823924039,0.3544338335607094,0.45536332179930794
22,Al0.5CoCrCuFeNiV0.6,FCC + BCC + Im,328.0,0.27003650015235275,0.8327004583044225,0.7153916211293262,0.3802877988551328,0.4502003743747512,0.2313941229005383,0.5296630926753879,0.41398490336508836,0.5332489757945451,0.4362636070539619,0.5769410050785293,0.2905245014379862,0.08148259360758361,0.33737563973675494,0.8338836094283834,0.3281655365201597,0.3025111309336115,0.2383755200369045,0.3008526819206634,0.011257051201226278,0.7042291950886767,0.1411764705882353
23,CoFeMo0.6NiV,FCC + Im,557.0,0.2238396450369817,0.5037303307346412,0.6859903381642513,0.6973622143623416,0.5011314008325668,0.3752470280552043,0.7485040623627581,0.406285911214674,0.7012516645716192,0.46276503482039266,0.7120371671910876,0.2463801192448511,0.0390880956461255,0.10047913088498586,0.7694357724815355,0.31692880686139935,0.32185589230683137,0.38434873235607325,0.42730807690348943,0.004299452036678548,0.5688949522510233,0.30934256055363324
24,Al2CoCrFeNiTi,BCC,643.0,0.4982996295937814,0.6619458043334745,0.46428571428571425,0.5193789646162978,0.3067875746620042,0.16218459629381424,0.4189664502164502,0.6377554891110961,0.42931471789488207,0.6724005666376436,0.4433786114959953,0.5965920909849219,0.15553752221964603,0.4322290274312533,0.6942707030272702,0.5162161385768865,0.5250270450245078,0.22303282959874934,0.29508195032647644,0.000619655726576819,0.19017735334242836,0.471280276816609
25,Al0.5CoCrCuFeNiV1.4,BCC,577.0,0.26315461785741734,0.8307943995611593,0.6678743961352657,0.5097400138693379,0.4325191389461772,0.2592332337376702,0.5052045210559706,0.4169169595973124,0.5046514719360803,0.451776259904961,0.5750029735194577,0.2684097764369524,0.07998792550552149,0.3163487197651026,0.7869489073326739,0.3229905256501048,0.2979990518135894,0.26535559734463143,0.34406542113105054,0.0075375731066244355,0.6493860845839017,0.15086505190311417
26,Al2CoCrFeMo0.5Ni,BCC,605.0,0.4394056154703952,0.6252187571718669,0.5085470085470086,0.35881805606481615,0.3584070011949973,0.18821970014925316,0.5290646853146853,0.703804877024712,0.5382882418230805,0.7137540359128769,0.5297019706370615,0.645839480772845,0.13493790389222804,0.5085091557390834,0.7470025596120167,0.2501198781110304,0.4762410102444715,0.242914979757085,0.5192899483815683,0.001867072573660744,0.4281036834924966,0.40692041522491346
27,Al0.75CoCrFeMnNi,FCC + BCC,530.0,0.35106149779098433,0.7015607585203111,0.6316425120772947,0.17604035337538326,0.4196384728393651,0.20250365237654455,0.5917279680866638,0.39455486957938196,0.6133296329896523,0.38725175766838366,0.48201291048084516,0.6152377397902632,0.1589985786147038,0.5608568107524268,0.8341582273661767,0.26444504673060615,0.3509285509277998,0.1861476765525522,0.35311101237872494,0.003358583368996727,0.5356070941336971,0.1764705882352941
28,Al0.5HfNbTaTiZr,BCC,396.0,0.3344393493643921,0.6822280040756697,0.20454545454545464,0.48446274206902284,0.5935639062454164,0.5778385154931238,0.2551939853076217,0.5224327779312004,0.27903722089207256,0.5458016491323833,0.37257428801820763,0.5793690710884452,0.1705731087831714,0.3107164446412639,0.11065117019582843,0.6318117836316107,0.3106529802615824,0.6871002889762662,0.5736957417982107,0.007955479409730156,0.6193724420190996,0.21937716262975776
29,Al0.5CoCrCuFeNiTi1.8,FCC + BCC + Im,667.0,0.4915702075131324,0.8072803631669968,0.6137747336377474,0.6577714617363457,0.39125934822734937,0.23870501888454804,0.4625550597297172,0.4929935504300448,0.46195237258980737,0.543308594315815,0.4967913885889037,0.41082415769926517,0.11109293661405943,0.31958809192971194,0.7025645946788859,0.7412906406926169,0.5442295583905145,0.2529856446351195,0.26552378959370393,0.0021312266565838914,0.39672578444747614,0.4823529411764706
30,Hf0.5Mo0.5NbSi0.1TiZr,BCC + Im,442.0,0.461728865902232,0.5481031314646369,0.23441734417344182,0.38213118306090355,0.4547246329882743,0.5694446020267644,0.31678317730146993,0.9635793407440383,0.3735633462111587,0.9431098204914594,0.4192852025511054,0.7374419431756153,0.15797862012934996,0.3114892632768183,0.1488616462346764,0.7710416738191112,0.37563060023271194,0.674029919038117,0.3959641178909305,0.012400377720638015,0.6965893587994543,0.3480968858131488
31,CoFeMoNiV,FCC + Im,625.0,0.24419754945414351,0.5208099393420963,0.6666666666666667,0.7197094076855005,0.5158346010233716,0.4139020159379524,0.799558080808081,0.43519708523030426,0.7500402295767847,0.493449911585869,0.7487910691093982,0.2891532640900613,0.033657933379704755,0.1277546248130628,0.7338003502626974,0.2917353710034185,0.35140153191079043,0.41646690984887963,0.47836883511532047,0.004936969749714371,0.5839017735334243,0.38823529411764707
32,Al0.5CoCrCuFeNi,FCC,237.5,0.27374200046797625,0.6822280040756697,0.7601010101010102,0.13720257719027568,0.4668368095280002,0.2052000504310551,0.5526763850627489,0.4072822914384798,0.5601566271522823,0.41632843641966844,0.578764516590928,0.31003684181405955,0.0828889404127058,0.3556621055980745,0.8780448973093462,0.3330347512933477,0.30088739524494923,0.2129897200246341,0.22273526390702533,0.024702574847918525,0.772169167803547,0.12525951557093426
33,CrNbTiVZr,BCC + Im,482.0,0.5955862894310315,0.5208099393420963,0.2777777777777778,0.527220429538978,0.3484073203337483,0.5006347356934487,0.2250631313131314,0.33822346664597663,0.30483291315775357,0.5658504424386529,0.45091049766503655,0.4485168796975978,0.12980137568591085,0.31335133310588936,0.30297723292469336,0.6620550975266438,0.6185252971700662,0.534861907243356,0.5430448064832812,0.012139914994120156,0.703137789904502,0.6512110726643598
34,Al0.62CoCrFeMnNi,FCC + BCC,405.0,0.3361433754445354,0.6937562463636969,0.6456109134045077,0.18051542237977727,0.42949682999567085,0.21199043511823362,0.6049556208586458,0.3671009615517675,0.6267191582311815,0.3539149618951807,0.4916708041973001,0.5995499620872724,0.15423384130132656,0.5677272653521399,0.8402876890764164,0.2726180449158553,0.32624291787308335,0.188814236359017,0.3519842924920561,0.003806192755087901,0.5587994542974078,0.15501730103806224
35,Al3CoCrCuFeNi,BCC,640.0,0.4477914772647266,0.5799680658121482,0.53125,0.08217222278989487,0.31890471580694235,0.07619463996139414,0.38617950336700335,0.6689550901079542,0.3958858552808024,0.7039486186306199,0.41805521014672975,0.6305548631371134,0.1710429708632816,0.4400432830145205,0.7815236427320494,0.20118640659561632,0.48133339161270056,0.1685773840541949,0.28041875759144036,0.0019927588006223604,0.4987721691678036,0.3391003460207612
36,AlCrCuFeNi0.6,FCC + BCC,496.0,0.3866981308118703,0.5037303307346414,0.63768115942029,0.08689570015493302,0.3862877025047151,0.14980764181702266,0.4353635997657738,0.5436601445780597,0.4595826851901518,0.5756107258737753,0.4814842847994889,0.4699359281964057,0.1286555308017218,0.41943628427873964,0.8097921267037241,0.22932531321308988,0.4054993155773002,0.17645059700478066,0.24883248870952462,0.009227589754851353,0.7156889495225102,0.21937716262975776
37,Al1.25CoCrFeNi,BCC,493.0,0.4130628889058703,0.5163858738925623,0.5833333333333334,0.1468049064018136,0.3794465188463253,0.1809378685674785,0.5201268638768639,0.5330829798371539,0.5366574457922415,0.5345516804817455,0.5350402450626276,0.48630888356474217,0.11766751680964527,0.48000428352860214,0.8126928529730635,0.3221778556586519,0.4531240871707331,0.21578699223305783,0.22952599041863567,0.0018391774471536748,0.45266030013642555,0.28719723183391005
38,Al0.81CoCrFeMnNi,FCC + BCC,539.0,0.3572019692033441,0.7038390330914674,0.6254063874545803,0.17402582060151178,0.41523725738443823,0.19826832450616513,0.5858225470424266,0.40635197069929924,0.6073519447711382,0.4013907583908951,0.4777011909506075,0.6221079304952053,0.1611257723417934,0.5577150087165949,0.8314217590904022,0.2607962515656836,0.3608002543139049,0.1849572039367175,0.3535517772627683,0.0031819508805418294,0.5255115961800818,0.18546712802768162
39,Al0.3CoCrCuFe,FCC,180.0,0.24368928219384287,0.4526790318451992,0.7383720930232559,0.1107059148151768,0.4660103623610232,0.21997246715131563,0.5180854083470363,0.3796105013170922,0.5487426542040218,0.40566606935261856,0.576021108816954,0.2852611462115269,0.08028279386099711,0.3164619022093152,0.8542744267502953,0.3623006093369311,0.24475109700311407,0.20175236617909031,0.2149401617912487,0.01680757756125447,0.8911323328785811,0.08512110726643597
40,Al0.3CrFe1.5MnNi0.5,FCC + BCC,297.0,0.31382553873897717,0.39064702451297617,0.6091731266149871,0.09936033895300148,0.4202341554825853,0.2405573966170953,0.6153516756714433,0.31634611595262796,0.6571130257756199,0.28029784714298567,0.4582286664263265,0.6189546399379438,0.1696107135988727,0.5620374337172752,0.8135462061662525,0.216735020272261,0.23367351702256975,0.17266745034356556,0.36644648646945965,0.00650806253268816,0.6742155525238746,0.08719723183391002
41,Al0.5CoFeNi,FCC + BCC,212.0,0.3420640592125549,0.25812005998408927,0.742063492063492,0.04474426154637455,0.4552225536874963,0.18164589076956422,0.6578132515632517,0.3751216575411039,0.619926284089777,0.40621022795396583,0.5841475112800655,0.35465228811971045,0.08885098208075254,0.43046914898959626,0.9144358268701525,0.32248427221280623,0.3968092444135144,0.24596143824908812,0.18365726942504898,0.0025531426424806936,0.5675306957708048,0.21176470588235294
42,Hf0.5Mo0.5NbSi0.3TiZr,BCC + Im,494.0,0.5671065901086724,0.6170267184990188,0.23126614987080105,0.5834551842353022,0.431683567413773,0.5523523488809877,0.3132022746848328,0.9458679210690863,0.3906622474424593,0.9162147597430761,0.4096208085843894,0.7359136699921345,0.160902589431267,0.3023473909533491,0.19366268887712237,0.812714238282072,0.4012968972015294,0.6579977459190228,0.4174058274493497,0.003955018931987917,0.4862210095497954,0.3847750865051903
43,Al0.5CoCrCuFeNiTi,FCC + BCC + Im,636.0,0.4432128273217384,0.8426633887446128,0.6688034188034188,0.5539071048852621,0.4196816413660558,0.22610485980802084,0.49644684019684027,0.4658096762872547,0.49888388712612275,0.502408965972594,0.5276188897178702,0.37963143914252145,0.10048630556397774,0.3363430842249428,0.7685571871211101,0.5877585113458832,0.4993428612712135,0.2379444422175012,0.257356861429092,0.003401304617416069,0.5080491132332878,0.3778546712802768
44,Al0.3HfNbTaTiZr,BCC,353.0,0.3354187517566008,0.6496991540084067,0.21121593291404617,0.3842934936970893,0.6162095589482391,0.6074783561936893,0.26407351820087677,0.5111653727303431,0.28826541197616784,0.532067236515209,0.3841999314917439,0.5614653650714313,0.1632369303276478,0.30360094607739496,0.09334831312163336,0.6590076981739128,0.30551430194510976,0.710354252902947,0.5222618829253706,0.016685656490016687,0.7178717598908595,0.2200692041522491
45,AlNbTiV,BCC,448.0,0.250048552574623,0.2933049473885763,0.2013888888888889,0.5757412974228537,0.2465311390771217,0.3461515887956107,0.1808712121212121,0.2771506586686665,0.2356380410878077,0.44730732067682416,0.3692834839315814,0.5077833452845262,0.17186413169487597,0.34800521611511126,0.34588441330998265,0.5222199879348481,0.20913671138653286,0.46482542991141224,0.7359558359543132,0.0013826691479541916,0.3819918144611187,0.11487889273356401
46,Al0.5CoCrCuFeNiV2.0,BCC,587.0,0.25740935441893426,0.7928610340426591,0.6388888888888888,0.5566023501461623,0.421733585334747,0.2762150913483205,0.49028479236812567,0.41629605344262527,0.487206994582417,0.4581209857205981,0.5738207742684241,0.25411012435865,0.07907617796326354,0.3025901479243558,0.7583187390542908,0.31983376901937116,0.29226307948427016,0.28181344450234497,0.35798932220827917,0.006418650714986611,0.6248294679399727,0.15294117647058822
47,MoNbTiV,BCC,441.0,0.2640078699404738,0.2933049473885763,0.3055555555555556,0.0805997123333552,0.41939796247637495,0.6126644987109648,0.5225694444444445,0.8893813957667988,0.5547926835809688,0.8459987895454247,0.6460250352317003,0.5493608800825776,0.07342143906020557,0.31201011253244654,0.28458844133099814,0.5449426905288558,0.22152707924844794,0.6435643564356436,0.449814167076879,0.021557367379194597,0.757162346521146,0.15086505190311417
48,AlCoCuFeNi,FCC + BCC,536.0,0.37648195662500084,0.5208099393420963,0.7500000000000001,0.021699896654949806,0.43212096067856004,0.11098310124903821,0.5272516835016835,0.5213273123110355,0.49525290993938753,0.5642630320408799,0.49987565282268104,0.45374210848067176,0.1210680887240127,0.42216074086980726,0.8949211908931705,0.23157048059521423,0.4335388989242867,0.1976029181865555,0.27286123168446264,0.005050092389136831,0.651568894952251,0.24705882352941175
49,AlNb1.5Ta0.5Ti1.5Zr0.5,BCC,408.0,0.2236455779858618,0.4141148867306726,0.19444444444444448,0.62855125163027,0.36739962199787957,0.4461083311233516,0.18265993265993266,0.4622166996517342,0.24569543528402074,0.5603555104035581,0.358285666915361,0.5852477931293123,0.1808099544014221,0.33480233679318366,0.2451838879159373,0.5937663382264228,0.2172078823815998,0.5813444502344971,0.7593050149810405,0.0021896137403374727,0.41664392905866304,0.0809688581314879
50,Co1.5CrFeNi1.5Ti0.5,FCC,509.0,0.32511284284043246,0.4567424921359347,0.7348484848484848,0.48726784552020913,0.4806661553999405,0.2936539868397079,0.6482342363024183,0.2777048656816794,0.6475645258030066,0.2507043995613711,0.6472433863630084,0.16454732936746327,0.05359062453892038,0.173354498075503,0.8446107307753541,0.5910096338409226,0.3841400742974149,0.27571178170448607,0.07873883694284071,0.003162284528266221,0.5377899045020464,0.2325259515570934
51,Al2CoCrFeNi,BCC,484.3,0.4532661902262575,0.4711300350742825,0.513888888888889,0.12487500918909462,0.3311974676931115,0.13236847711256114,0.45759680134680125,0.6263889682215463,0.4738865347136547,0.64102079115053,0.4762220564259859,0.5923685543391018,0.14858180694025813,0.47933810728633625,0.7822533566841796,0.27079562973389637,0.48625690963701923,0.19767239881882917,0.26155295425563996,0.0011834490073220792,0.39618008185538883,0.3487889273356401
52,Hf0.5Mo0.5NbTiZr,BCC + Im,400.0,0.3909709932226637,0.46997871054143214,0.23611111111111113,0.2318896417812858,0.46710920573456877,0.5786316880926192,0.31870791245791247,0.9727762250797912,0.36437268679933493,0.9573497246187871,0.4244798143082153,0.737885803557344,0.15640698662956956,0.316321139548251,0.12478108581436051,0.7486426704202694,0.36046540892615614,0.6826472120896301,0.3833396909190016,0.25772269049869423,0.8180081855388813,0.3259515570934256
53,Cu31.6Mn31.6Ni31.6Sn5,FCC + Im,205.0,0.4307283065580615,0.14657951465715993,0.8702961478512581,0.26009727433429297,0.5126744523020133,0.09124812836217748,0.5716759697846873,0.38548397750945923,0.5663939583291454,0.3620405447406791,0.3657189202245992,0.665352893543794,0.20792764135582392,0.4981314331120766,0.9480431967262017,0.03908799702763662,0.7567881301240977,0.11313925401610933,0.43044235495225563,0.029156284720438526,0.7969986357435197,0.5391003460207612
54,HfMo0.75NbTaTiZr,BCC,492.0,0.38699764921960045,0.7015607585203111,0.25120772946859893,0.20609996441385103,0.657663562078731,0.6827384781200482,0.4232405577514274,0.8390384351890864,0.4349202055090033,0.8399321749366112,0.5035664212161515,0.6830336210473786,0.12766425736818582,0.35568710347823307,0.0986065636183656,0.6123326834471361,0.34408576222090337,0.7535627704646894,0.3919119754245651,0.45144158114280797,0.8199181446111868,0.33633217993079584
55,Hf0.5Nb0.5Ta0.5Ti1.5Zr,BCC,301.0,0.32097939651155266,0.40329430265929217,0.2013888888888889,0.21322591580377584,0.49177153920619565,0.5506446262667541,0.22203808922558924,0.4852948271599827,0.2294359813334763,0.552214776264184,0.3294233054243002,0.5259164858559945,0.18046216863745268,0.23202331080793173,0.08975481611208413,1.0,0.31212909254544136,0.645127670661803,0.4803632292451575,0.030617239531360852,0.8742155525238745,0.20830449826989617
56,AlCrCuFeNi1.2,FCC + BCC,407.0,0.37153278653166627,0.5179006742972924,0.6794871794871794,0.11929362590097164,0.4069160913304185,0.15839623559596425,0.47835729085729084,0.5290777948942691,0.48898122207138983,0.54559884791317,0.5059378434160827,0.4429728347108149,0.11815798391267905,0.4208262355131847,0.8365889801966863,0.23650791195532792,0.4050796898595929,0.1895217861867157,0.25278611406253865,0.006394189385959288,0.6733969986357435,0.21937716262975776
57,CoFeMo0.4NiV,FCC + Im,402.0,0.20858746099079972,0.475405284117924,0.6969696969696968,0.6783543954053576,0.49277730981506396,0.35328396675818824,0.7194960973370065,0.37951650265698467,0.6735308890005022,0.4342564513944168,0.6911542683738655,0.2093551367284607,0.042173415115682664,0.0815249100120605,0.7896831714695113,0.33124325905343394,0.29803109399090183,0.36609976787152404,0.38404031871408784,0.00391609456601671,0.5607094133697135,0.25674740484429065
58,Al0.38CoCrFeMnNi,FCC,182.0,0.3011606203873573,0.6651702624788732,0.6731722428748452,0.18919965946196965,0.4489485498637031,0.23070899414530113,0.6310553646752534,0.3076868252803724,0.6531382958252768,0.27886715513999905,0.5107269856795813,0.5673445160863112,0.1448324436855695,0.580554014436272,0.8523818514443455,0.2887443495993608,0.26403126935778876,0.19407567835633116,0.34920219267238867,0.005048308653746681,0.6090040927694407,0.10934256055363321
59,HfNbSi0.5TiV,BCC + lm,490.0,0.6322085373025891,0.4919117777352281,0.2283950617283951,0.703059092277403,0.43179315396159534,0.5200535902418805,0.2666830340441452,0.15191123844574228,0.3669056601524552,0.38603275623252736,0.39694689300923236,0.3399485221059019,0.137375376767911,0.18717548897550085,0.2558863592138545,0.9341555510869807,0.4497400029183576,0.5910485785420647,0.46467300078822127,0.0021195522819515483,0.3596180081855389,0.49065743944636675
